year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,1,1,1/1/2024,AA,1974,LAS,"Las Vegas, NV",Nevada,DFW,"Dallas/Fort Worth, TX",Texas,1800,1753,-7,17,1810,2220,8,2242,2228,-14,0,,0,162,155,130,1055,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1975,DCA,"Washington, DC",Virginia,LAS,"Las Vegas, NV",Nevada,725,715,-10,13,728,901,5,953,906,-47,0,,0,328,291,273,2089,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1976,CLT,"Charlotte, NC",North Carolina,SYR,"Syracuse, NY",New York,2239,2239,0,13,2252,22,4,27,26,-1,0,,0,108,107,90,603,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1978,CLT,"Charlotte, NC",North Carolina,BOS,"Boston, MA",Massachusetts,1846,1851,5,15,1906,2045,7,2052,2052,0,0,,0,126,121,99,728,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1979,LAX,"Los Angeles, CA",California,ORD,"Chicago, IL",Illinois,1331,1333,2,9,1342,1921,14,1938,1935,-3,0,,0,247,242,219,1744,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1979,ORD,"Chicago, IL",Illinois,LAX,"Los Angeles, CA",California,955,950,-5,13,1003,1145,12,1231,1157,-34,0,,0,276,247,222,1744,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1980,PHX,"Phoenix, AZ",Arizona,IND,"Indianapolis, IN",Indiana,1008,1004,-4,28,1032,1531,5,1539,1536,-3,0,,0,211,212,179,1488,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1981,LAX,"Los Angeles, CA",California,DCA,"Washington, DC",Virginia,1301,1257,-4,15,1312,2057,4,2055,2101,6,0,,0,294,304,285,2311,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1983,MIA,"Miami, FL",Florida,PHX,"Phoenix, AZ",Arizona,727,720,-7,16,736,1036,5,1034,1041,7,0,,0,307,321,300,1972,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1984,LAX,"Los Angeles, CA",California,PHX,"Phoenix, AZ",Arizona,1834,1831,-3,15,1846,2049,10,2059,2059,0,0,,0,85,88,63,370,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1985,MIA,"Miami, FL",Florida,DCA,"Washington, DC",Virginia,1721,1717,-4,28,1745,1947,5,1955,1952,-3,0,,0,154,155,122,919,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1986,DCA,"Washington, DC",Virginia,LAX,"Los Angeles, CA",California,830,827,-3,21,848,1049,9,1142,1058,-44,0,,0,372,331,301,2311,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1988,CLT,"Charlotte, NC",North Carolina,LAX,"Los Angeles, CA",California,1126,1124,-2,15,1139,1331,9,1355,1340,-15,0,,0,329,316,292,2125,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1989,LAX,"Los Angeles, CA",California,PHL,"Philadelphia, PA",Pennsylvania,2145,2144,-1,20,2204,530,4,532,534,2,0,,0,287,290,266,2402,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1992,SEA,"Seattle, WA",Washington,DFW,"Dallas/Fort Worth, TX",Texas,1346,1341,-5,27,1408,1933,11,1938,1944,6,0,,0,232,243,205,1660,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1993,MSY,"New Orleans, LA",Louisiana,ORD,"Chicago, IL",Illinois,1655,1658,3,11,1709,1920,11,1930,1931,1,0,,0,155,153,131,837,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1993,ORD,"Chicago, IL",Illinois,MSY,"New Orleans, LA",Louisiana,1340,1408,28,15,1423,1608,3,1603,1611,8,0,,0,143,123,105,837,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1994,LAX,"Los Angeles, CA",California,PHX,"Phoenix, AZ",Arizona,1310,1307,-3,17,1324,1521,8,1536,1529,-7,0,,0,86,82,57,370,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1994,PHX,"Phoenix, AZ",Arizona,LAX,"Los Angeles, CA",California,1130,1128,-2,24,1152,1205,7,1210,1212,2,0,,0,100,104,73,370,0,0,0,0,0
